run_id,phase,model_family,model_size,seed,ablation,config_path,expected_checkpoint,status,notes
tfidf_baseline,screening,retrieval,tfidf,42,baseline,,experiments/results/artifacts/tfidf_baseline/summary.json,planned,TF-IDF retrieval baseline on cleaned coursework corpus
mt5_small_baseline,screening,seq2seq,mt5-small,42,baseline,experiments/configs/mt5_small_baseline.yaml,outputs/coursework/mt5_small_baseline/best_model.pt,planned,mT5-small rebuilt baseline
byt5_small_baseline,screening,seq2seq,byt5-small,42,baseline,experiments/configs/byt5_small_baseline.yaml,outputs/coursework/byt5_small_baseline/best_model.pt,planned,ByT5-small rebuilt baseline
byt5_small_rq1_no_determinatives,screening,seq2seq,byt5-small,42,rq1_no_determinatives,experiments/configs/byt5_small_rq1_no_determinatives.yaml,outputs/coursework/byt5_small_rq1_no_determinatives/best_model.pt,planned,Remove determinatives
byt5_small_rq2_tag_sumerograms,screening,seq2seq,byt5-small,42,rq2_tag_sumerograms,experiments/configs/byt5_small_rq2_tag_sumerograms.yaml,outputs/coursework/byt5_small_rq2_tag_sumerograms/best_model.pt,planned,Tag sumerograms
byt5_small_rq3_dictionary_gloss,screening,seq2seq,byt5-small,42,rq3_dictionary_gloss,experiments/configs/byt5_small_rq3_dictionary_gloss.yaml,outputs/coursework/byt5_small_rq3_dictionary_gloss/best_model.pt,planned,Add dictionary glosses
byt5_small_rq4_remove_gaps,screening,seq2seq,byt5-small,42,rq4_remove_gaps,experiments/configs/byt5_small_rq4_remove_gaps.yaml,outputs/coursework/byt5_small_rq4_remove_gaps/best_model.pt,planned,Remove gap markers
byt5_base_baseline,screening,seq2seq,byt5-base,42,baseline,experiments/configs/byt5_base_baseline.yaml,outputs/coursework/byt5_base_baseline/best_model.pt,planned,ByT5-base rebuilt baseline
byt5_base_rq1_no_determinatives,screening,seq2seq,byt5-base,42,rq1_no_determinatives,experiments/configs/byt5_base_rq1_no_determinatives.yaml,outputs/coursework/byt5_base_rq1_no_determinatives/best_model.pt,planned,Remove determinatives
byt5_base_rq2_tag_sumerograms,screening,seq2seq,byt5-base,42,rq2_tag_sumerograms,experiments/configs/byt5_base_rq2_tag_sumerograms.yaml,outputs/coursework/byt5_base_rq2_tag_sumerograms/best_model.pt,planned,Tag sumerograms
byt5_base_rq3_dictionary_gloss,screening,seq2seq,byt5-base,42,rq3_dictionary_gloss,experiments/configs/byt5_base_rq3_dictionary_gloss.yaml,outputs/coursework/byt5_base_rq3_dictionary_gloss/best_model.pt,planned,Add dictionary glosses
byt5_base_rq4_remove_gaps,screening,seq2seq,byt5-base,42,rq4_remove_gaps,experiments/configs/byt5_base_rq4_remove_gaps.yaml,outputs/coursework/byt5_base_rq4_remove_gaps/best_model.pt,planned,Remove gap markers
byt5_small_cw4_genre_conditioned,cw4,seq2seq,byt5-small,42,cw4_genre_conditioned,experiments/configs/byt5_small_cw4_genre_conditioned.yaml,outputs/coursework/byt5_small_cw4_genre_conditioned/best_model.pt,planned,Prepends a genre control tag to each source sentence
byt5_base_cw4_genre_conditioned,cw4,seq2seq,byt5-base,42,cw4_genre_conditioned,experiments/configs/byt5_base_cw4_genre_conditioned.yaml,outputs/coursework/byt5_base_cw4_genre_conditioned/best_model.pt,planned,Prepends a genre control tag to each source sentence
